First Name,Surname,Team,Position,Fitness,Passing accuracy,Shot accuracy,Shot frequency,Defensiveness,Agression,Position,Dribbling,Chance Creation,Offside adherence
Georgios, Sieng, Canada, Goal Keeper,0.17,0.59,0.28,0.28,0.81,0.97,0.93,0.31,0.19,0.93
Marko, Silva, Brazil, Defender,0.91,0.79,0.46,0.31,0.72,0.74,0.89,0.78,0.5,0.51
Agustín, Simon, Saudi Arabia, Midfielder,0.15,0.85,0.48,0.87,0.77,0.67,0.64,0.73,0.31,0.61
Murad, Sin, Argentina, Defender,0.91,0.55,0.24,0.29,0.66,0.62,0.71,0.6,0.48,0.98
Yusuf, Sinani, Mexico, Defender,0.39,0.53,0.56,0.09,0.8,0.6,0.64,0.26,0.22,0.92
Keanu, Smit, Iran, Midfielder,0.79,0.54,0.53,0.67,0.55,0.61,0.85,0.53,0.41,0.51
Ander, Smith, Ecuador, Defender,0.38,0.88,0.28,0.1,0.8,0.98,0.88,0.69,0.74,0.51
Sita, Soares, Croatia, Defender,0.12,0.72,0.42,0.34,0.93,0.43,0.73,0.62,0.31,0.5
Kyriaki, Sohn, Brazil, Midfielder,0.36,0.81,0.69,0.34,0.61,0.78,0.86,0.52,0.49,0.43
Mykhailo, Sohn, Tunisia, Midfielder,0.34,0.66,0.36,0.49,0.55,0.65,0.91,0.92,0.35,0.87
Judeline, Solís, Poland, Goal Keeper,0.9,0.89,0.2,0.28,0.88,0.88,0.68,0.26,0.13,0.92
Beshoi, Solís, Belgium, Goal Keeper,0.73,0.74,0.28,0.39,0.88,0.97,0.95,0.38,0.15,0.89
Žan, Song, Qatar, Defender,0.58,0.85,0.54,0.54,0.98,0.64,0.67,0.36,0.41,0.54
Fatin, Sonn, Poland, Defender,0.57,0.83,0.35,0.37,0.58,0.89,0.82,0.77,0.3,0.98
Somporn, Sor, Netherlands, Midfielder,0.38,0.66,0.77,0.43,0.53,0.75,0.91,0.56,0.9,0.4
Rose, Sor, Japan, Midfielder,0.38,0.85,0.7,0.49,0.75,0.33,0.54,0.79,0.71,0.7
María José, Sorrentino, Brazil, Defender,0.59,0.66,0.35,0.46,0.57,1.07,0.83,0.66,0.19,0.88
Mohammad-Taha, Sorrentino, Uruguay, Midfielder,0.09,0.75,0.61,0.4,0.42,0.3,0.56,0.52,0.75,0.76
Ilija, Soto, Denmark, Midfielder,0.09,0.65,0.73,0.71,0.79,0.41,0.8,0.7,0.49,0.72
Eymen, Soto, Australia, Midfielder,0.45,0.55,0.45,0.37,0.47,0.3,0.93,0.47,0.65,0.87
Christos, Soun, Morocco, Forward,0.17,0.44,0.83,0.66,0.57,0.43,0.73,0.49,0.78,0.71
Tomáš, Steiner, Wales, Midfielder,0.89,0.62,0.36,0.57,0.41,0.22,0.43,0.45,0.87,0.76
José Luis, Suárez, Costa Rica, Goal Keeper,0.18,0.6,0.27,0.35,0.91,0.82,0.56,0.24,0.13,0.96
Ramón, Suárez, Tunisia, Forward,0.28,0.56,0.68,0.86,0.67,0.55,0.8,0.69,0.93,0.84
Khongordzol, Suljić, Cameroon, Forward,0.93,0.63,0.53,0.4,0.61,0.74,0.93,0.56,0.68,0.63
Ashot, Szabó, Costa Rica, Midfielder,0.1,0.51,0.69,0.42,0.5,0.25,0.57,0.88,0.73,0.8
Halim, Szabó, Poland, Midfielder,0.12,0.61,0.71,0.71,0.72,0.55,0.9,0.72,0.73,0.61
Adama, Szabó, Spain, Goal Keeper,0.85,0.62,0.43,0.22,0.73,0.69,0.55,0.29,0.09,0.81
Azra, Szabó, Canada, Forward,0.89,0.42,0.75,0.63,0.47,0.52,0.63,0.72,0.97,0.6
William, Szabó, Australia, Midfielder,0.88,0.76,0.61,0.71,0.74,0.63,0.5,0.58,0.91,0.88
Sobia, Taing, Qatar, Defender,0.26,0.69,0.18,0.02,0.92,0.73,0.31,0.66,0.61,0.81
Jovana, Taing, Australia, Goal Keeper,0.81,0.8,0.5,0.28,0.74,0.78,0.41,0.24,0.1,0.87
Anar, Tapia, Canada, Defender,0.12,0.51,0.54,0.22,0.57,1.04,0.4,0.23,0.7,0.62
Siti, Tavares, South Korea, Forward,0.66,0.53,0.72,0.87,0.48,0.31,0.92,0.75,0.99,0.54
David, Tavares, South Korea, Forward,0.61,0.54,0.81,0.77,0.65,0.4,0.66,0.86,0.42,0.88
Gabriele, Tavares, Senegal, Forward,0.01,0.45,0.63,0.49,0.66,0.36,0.44,0.95,0.44,0.48
Sophie, Taylor, England, Goal Keeper,0.7,0.58,0.18,0.2,0.91,0.91,0.83,0.37,0.17,0.85
Georgios, Taylor, South Korea, Forward,0.21,0.69,0.63,0.61,0.48,0.73,0.75,0.64,0.47,0.67
Shivansh, Teav, Serbia, Midfielder,0.59,0.55,0.64,0.81,0.41,0.46,0.8,0.94,0.78,0.48
Leah, Teav, Mexico, Defender,0.16,0.68,0.59,0.58,0.82,0.52,0.53,0.7,0.22,0.56
Tamatoa, Terzić, Wales, Defender,0.08,0.7,0.11,0.06,0.66,0.64,0.42,0.23,0.7,0.61
Dušan, Terzić, Saudi Arabia, Goal Keeper,0.44,0.88,0.26,0.25,0.86,0.52,0.58,0.27,0.07,0.86
Ema, Terzić, Ghana, Defender,0.43,0.6,0.31,0.12,0.51,0.85,0.59,0.66,0.46,0.89
Manuel, Thanasi, Japan, Defender,0.7,0.66,0.45,0.25,0.99,0.57,0.79,0.74,0.65,0.7
Widelene, Thomas, Ecuador, Defender,0.2,0.57,0.21,0.53,0.58,0.64,0.38,0.56,0.25,0.98
Saqib, Thompson, Morocco, Defender,0.26,0.78,0.38,0.42,0.7,0.75,0.64,0.52,0.67,0.95
Trinidad, Thomsen, Tunisia, Defender,0.26,0.68,0.29,0.38,0.95,0.8,0.38,0.6,0.79,0.75
Hatice, Thomsen, Mexico, Forward,0.25,0.48,0.55,0.73,0.54,0.7,0.72,0.72,0.44,0.4
Nuka, Thy, Spain, Defender,0.68,0.76,0.32,0.27,0.78,0.47,0.3,0.69,0.75,0.59
Chien-hung, Tomić, Croatia, Goal Keeper,0.09,0.71,0.16,0.27,0.83,0.62,0.76,0.28,0.18,0.98
Athanasios, Török, Serbia, Midfielder,0.39,0.64,0.64,0.4,0.48,0.69,0.88,0.53,0.73,0.85
Abdullah, Tóth, Portugal, Defender,0.23,0.86,0.1,0.18,0.67,0.72,0.58,0.61,0.69,0.78
Hawa, Tóth, France, Midfielder,0.98,0.88,0.34,0.8,0.73,0.4,0.64,0.57,0.98,0.61
Noam, Tóth, Belgium, Defender,0.82,0.61,0.15,0.29,0.7,0.51,0.59,0.46,0.73,0.87
Adrians, Tsui, Portugal, Midfielder,0.97,0.78,0.61,0.47,0.32,0.35,0.41,0.61,0.78,0.73
Jayden, Tsui, Costa Rica, Forward,0.18,0.53,0.71,0.9,0.31,0.68,0.95,0.83,0.5,0.8
Eisha, Tsui, Qatar, Midfielder,0.52,0.77,0.63,0.45,0.36,0.22,0.9,0.72,0.43,0.88
Katla, Tsui, Australia, Forward,0.17,0.67,0.7,0.72,0.68,0.6,0.8,0.61,0.87,0.89
Evie, Turk, Senegal, Defender,0.76,0.73,0.29,0.17,0.8,0.73,0.71,0.31,0.26,0.97
Michalis, Ty, Canada, Forward,0.68,0.55,0.58,0.6,0.31,0.58,0.84,0.46,0.57,0.71
Sergei, Uch, Uruguay, Forward,0.81,0.4,0.52,0.48,0.51,0.54,0.56,0.77,0.79,0.57
Jokūbas, Uch, Japan, Midfielder,0.09,0.83,0.3,0.44,0.4,0.7,0.86,0.86,0.49,0.73
Elena, Um, Tunisia, Defender,0.79,0.65,0.52,0.27,0.62,0.55,0.71,0.71,0.47,0.7
Ana Paula, Um, Belgium, Defender,0.26,0.61,0.57,0.13,0.65,0.31,0.41,0.67,0.44,0.96
Aziz, Um, Mexico, Defender,0.42,0.59,0.52,0.29,0.88,0.89,0.42,0.21,0.54,0.62
Nomaan, Valentini, England, Forward,0.15,0.61,0.55,0.45,0.65,0.7,0.51,0.92,0.47,0.88
Relja, Valenzuela, Wales, Forward,0.44,0.68,0.6,0.45,0.27,0.68,0.93,0.93,0.73,0.58
Yusef, Valenzuela, Croatia, Forward,0.19,0.43,0.56,0.73,0.37,0.52,0.97,0.86,0.44,0.71
Julie, Van den Berg, USA, Forward,0.82,0.53,0.78,0.52,0.4,0.79,0.53,0.46,0.99,0.79
Benas, Van den Berg, Spain, Goal Keeper,0.13,0.51,0.31,0.26,0.89,0.96,0.66,0.37,0.09,0.87
Barbare, Van den Berg, Canada, Midfielder,0.34,0.64,0.63,0.73,0.54,0.67,0.45,0.89,0.68,0.86
Dragana, Van der Meer, Ecuador, Defender,0.52,0.85,0.5,0.08,0.97,0.51,0.73,0.76,0.67,0.81
Adrianna, Van Dyk, Saudi Arabia, Defender,0.63,0.7,0.24,0.01,0.85,0.77,0.54,0.78,0.39,0.64
Faisal, Van Dyk, Croatia, Forward,0.68,0.58,0.84,0.83,0.4,0.65,0.77,0.9,0.62,0.51
Benas, Van Leeuwen, Morocco, Midfielder,0.9,0.77,0.79,0.7,0.71,0.71,0.57,0.53,0.74,0.56
Théa, Van Leeuwen, Uruguay, Midfielder,0.37,0.7,0.75,0.79,0.34,0.29,0.45,0.42,0.4,0.4
Lewis, Vardanyan, Senegal, Goal Keeper,0.27,0.77,0.47,0.25,0.74,0.5,0.57,0.23,0.16,0.9
Carlos, Varela, Spain, Forward,0.27,0.59,0.57,0.81,0.48,0.36,0.75,0.98,0.33,0.56
Martín, Varela, Denmark, Midfielder,0.52,0.63,0.55,0.33,0.47,0.41,0.73,0.43,0.55,0.51
Lív, Varga, Wales, Defender,0.29,0.88,0.33,0.07,0.93,0.64,0.64,0.3,0.65,0.85
Julija, Varga, Tunisia, Forward,0.28,0.47,0.63,0.77,0.47,0.3,0.81,0.67,0.75,0.59
Francisco, Vargas, Poland, Defender,0.82,0.51,0.46,0.08,0.97,0.78,0.61,0.63,0.33,0.61
Hanna, Vázquez, Saudi Arabia, Goal Keeper,0.39,0.76,0.4,0.3,0.95,0.44,0.71,0.37,0.12,0.84
Dhia, Vázquez, Uruguay, Forward,0.8,0.47,0.89,0.87,0.46,0.38,0.48,0.97,0.73,0.79
Franciszek, Vega, Morocco, Midfielder,0.49,0.8,0.31,0.59,0.61,0.6,0.94,0.72,0.32,0.52
Violeta, Vega, Serbia, Midfielder,0.44,0.64,0.39,0.71,0.35,0.73,0.92,0.87,0.31,0.55
Ashot, Velásquez, Portugal, Midfielder,0.95,0.73,0.75,0.61,0.34,0.49,0.83,0.92,0.72,0.69
Relja, Velásquez, South Korea, Midfielder,0.95,0.69,0.61,0.75,0.64,0.63,0.95,0.88,0.64,0.86
Niharika, Velásquez, Morocco, Forward,0.89,0.62,0.84,0.43,0.23,0.48,0.62,0.75,0.92,0.86
Mareva, Villa, Wales, Defender,0.31,0.62,0.46,0.06,0.69,0.9,0.71,0.74,0.12,0.96
Ammar, Villa, Senegal, Midfielder,0.07,0.89,0.59,0.32,0.35,0.71,0.41,0.83,0.91,0.4
Juliana, Villalba, Netherlands, Midfielder,0.08,0.54,0.77,0.46,0.78,0.63,0.82,0.93,0.51,0.62
Tehei, Villalba, Qatar, Goal Keeper,0.17,0.88,0.37,0.23,0.78,0.85,0.42,0.39,0.11,0.84
Karitas, Villalobos, England, Forward,0.74,0.57,0.74,0.49,0.47,0.36,0.6,0.62,0.68,0.48
Susanna, Villalobos, Argentina, Forward,0.14,0.67,0.78,0.9,0.42,0.37,0.83,0.72,0.37,0.63
Ian, Villalobos, Ghana, Forward,0.76,0.46,0.83,0.93,0.61,0.54,0.69,0.88,0.86,0.52
Paneeraq, Vitale, Costa Rica, Forward,0.53,0.63,0.7,0.65,0.42,0.3,0.96,0.53,0.67,0.61
Teodor, Vuković, Germany, Forward,0.02,0.64,0.79,0.8,0.45,0.76,0.62,0.44,0.73,0.45
Yasmin, Wagner, Wales, Midfielder,0.22,0.57,0.74,0.48,0.52,0.41,0.44,0.52,0.46,0.87
Lilit, Walsh, Wales, Defender,0.34,0.81,0.12,0.47,0.75,0.85,0.78,0.25,0.33,0.93
Abd, Walsh, South Korea, Midfielder,0.16,0.84,0.61,0.51,0.32,0.62,0.79,0.65,0.46,0.61
Jayden, Wáng, France, Forward,0.89,0.48,0.74,0.87,0.48,0.3,0.44,0.8,0.48,0.88
Gianna, Wáng, Uruguay, Midfielder,0.43,0.67,0.34,0.83,0.76,0.25,0.46,0.72,0.39,0.6
Leo, Ward, Uruguay, Defender,0.51,0.88,0.31,0.5,0.81,0.76,0.38,0.59,0.55,0.79
Beatriz, Weerasinghe, Costa Rica, Defender,0.64,0.79,0.2,0.01,0.8,0.7,0.67,0.68,0.77,0.5
Poema, White, Wales, Defender,0.61,0.83,0.45,0.49,0.82,1.03,0.38,0.45,0.32,0.75
Dragan, White, Brazil, Forward,0.98,0.55,0.8,0.97,0.38,0.56,0.88,0.91,0.35,0.64
Pavle, White, Australia, Forward,0.72,0.48,0.53,0.89,0.32,0.72,0.54,0.96,0.71,0.55
Sofiya, Williams, Portugal, Forward,0.74,0.68,0.76,0.43,0.38,0.41,0.53,0.89,0.39,0.64
Djamel, Williams, Poland, Midfielder,0.08,0.62,0.64,0.48,0.71,0.37,0.89,0.65,0.76,0.66
Sheikh, Williams, Japan, Forward,0.22,0.42,0.69,0.66,0.51,0.63,0.46,0.79,0.7,0.75
Mohammad-Reza, Wimmer, Mexico, Forward,0.22,0.57,0.84,0.48,0.27,0.6,0.79,0.41,0.75,0.45
Rabina, Winkler, Japan, Goal Keeper,0.3,0.73,0.45,0.32,0.72,0.62,0.95,0.3,0.09,0.81
Ioane, Wong, Serbia, Forward,0.57,0.58,0.66,0.9,0.36,0.51,0.79,0.83,0.74,0.49
Mary, Wouters, South Korea, Defender,0.96,0.82,0.28,0.37,0.96,0.66,0.65,0.33,0.41,0.97
Naïm, Woźniak, Senegal, Forward,0.43,0.68,0.62,0.55,0.61,0.55,0.83,0.41,0.77,0.49
Amal, Wright, South Korea, Forward,0.54,0.6,0.73,0.69,0.59,0.35,0.45,0.68,0.91,0.58
Ayalah, Wu, Wales, Midfielder,0.25,0.52,0.35,0.43,0.46,0.21,0.88,0.83,0.78,0.44
Andreas, Wu, Japan, Midfielder,0.73,0.83,0.31,0.89,0.66,0.27,0.51,0.88,0.95,0.73
Seo-jun, Xú, Switzerland, Defender,0.37,0.59,0.42,0.28,0.7,0.51,0.32,0.34,0.66,0.58
Aisultan, Xú, Mexico, Defender,0.84,0.8,0.31,0.01,0.59,0.89,0.37,0.72,0.42,0.86
Niharika, Yang, Netherlands, Forward,0.3,0.64,0.54,0.7,0.62,0.4,0.4,0.67,0.67,0.88
Bence, Yáng, Japan, Defender,0.14,0.61,0.15,0.46,0.96,0.78,0.75,0.7,0.6,0.71
Armen, Yi, England, Defender,0.38,0.72,0.17,0.29,0.88,0.98,0.61,0.62,0.22,0.51
María, Yi, Saudi Arabia, Midfielder,0.05,0.64,0.48,0.34,0.33,0.5,0.74,0.87,0.78,0.8
Hussa, Youn, USA, Midfielder,0.11,0.59,0.42,0.46,0.35,0.7,0.66,0.42,0.34,0.5
Aleksandar, Žagar, Qatar, Midfielder,0.32,0.8,0.55,0.56,0.75,0.73,0.84,0.49,0.53,0.76
Julija, Žagar, Canada, Defender,0.25,0.55,0.56,0.4,0.88,0.9,0.88,0.32,0.15,0.74
Simona, Zamora, Argentina, Defender,0.36,0.87,0.33,0.25,0.87,0.36,0.79,0.26,0.4,0.72
Juliana, Zhāng, Spain, Forward,0.41,0.67,0.84,0.4,0.47,0.74,0.59,0.42,0.54,0.84
Elizabeth, Zhōu, South Korea, Forward,0.38,0.68,0.88,0.66,0.22,0.43,0.53,0.97,0.81,0.61
Esperanza, Zhōu, Ghana, Midfielder,0.21,0.51,0.61,0.78,0.75,0.71,0.75,0.67,0.69,0.65
Jakov, Zhōu, Mexico, Forward,0.4,0.49,0.81,0.5,0.4,0.79,0.57,0.93,0.62,0.65
Malu, Zhū, Ecuador, Defender,0.78,0.57,0.51,0.39,0.89,0.93,0.88,0.55,0.57,0.88
Ayoub, Zhū, Switzerland, Forward,0.04,0.41,0.61,0.63,0.48,0.6,0.87,0.76,0.63,0.56
Robin, Zieliński, Mexico, Midfielder,0.74,0.57,0.42,0.6,0.55,0.7,0.67,0.55,0.39,0.45
Niko, Zukić, England, Midfielder,0.53,0.83,0.36,0.38,0.54,0.43,0.79,0.74,0.93,0.41
Astrid, Zukić, Saudi Arabia, Forward,0.29,0.49,0.8,0.83,0.41,0.49,0.47,0.86,0.52,0.81
Josefa, Zupančič, Iran, Forward,0.42,0.64,0.57,0.45,0.5,0.55,0.44,0.81,0.7,0.68
Samvel, Zupančič, Uruguay, Midfielder,0.06,0.81,0.53,0.69,0.57,0.72,0.48,0.59,0.35,0.72
